aX,aY,aZ
0.286,-0.352,1.043
0.243,-0.355,1.034
0.233,-0.324,1.041
0.236,-0.404,0.998
0.239,-0.415,1.121
0.256,-0.383,1.01
0.268,-0.372,1.011
0.273,-0.356,1.022
0.313,-0.35,1.036
0.339,-0.345,1.036
0.33,-0.323,1.013
0.33,-0.321,1
0.333,-0.359,0.977
0.346,-0.375,0.953
0.36,-0.38,0.944
0.366,-0.373,0.932
0.379,-0.371,0.939
0.41,-0.336,0.922
0.42,-0.325,0.909
0.441,-0.334,0.906
0.462,-0.342,0.893
0.47,-0.353,0.869
0.48,-0.359,0.844
0.488,-0.355,0.817
0.495,-0.36,0.775
0.509,-0.366,0.778
0.538,-0.336,0.754
0.544,-0.328,0.727
0.53,-0.325,0.716
0.538,-0.308,0.7
0.537,-0.316,0.67
0.539,-0.319,0.666
0.537,-0.321,0.667
0.542,-0.333,0.654
0.529,-0.33,0.636
0.53,-0.338,0.633
0.539,-0.362,0.632
0.548,-0.376,0.624
0.543,-0.351,0.604
0.536,-0.325,0.556
0.532,-0.307,0.5
0.517,-0.313,0.481
0.522,-0.327,0.469
0.53,-0.329,0.455
0.543,-0.321,0.444
0.547,-0.307,0.413
0.562,-0.302,0.266
0.578,-0.304,0.342
0.581,-0.291,0.296
0.583,-0.266,0.27
0.587,-0.263,0.206
0.586,-0.261,0.138
0.586,-0.254,0.11
0.588,-0.245,0.064
0.592,-0.242,0.016
0.594,-0.241,-0.009
0.589,-0.237,-0.054
0.582,-0.239,-0.08
0.578,-0.252,-0.091
0.574,-0.261,-0.104
0.56,-0.265,-0.113
0.556,-0.27,-0.116
0.569,-0.287,-0.121
0.569,-0.293,-0.123
0.563,-0.284,-0.145
0.575,-0.279,-0.157
0.575,-0.282,-0.169
0.57,-0.278,-0.182
0.568,-0.276,-0.202
0.569,-0.27,-0.212
0.572,-0.268,-0.248
0.567,-0.26,-0.294
0.587,-0.295,-0.343
0.558,-0.196,-0.358
0.531,-0.211,-0.451
0.585,-0.252,-0.402
0.549,-0.165,-0.454
0.492,-0.139,-0.538
0.468,-0.142,-0.574
0.456,-0.178,-0.595
0.449,-0.186,-0.638
0.446,-0.183,-0.646
0.444,-0.183,-0.654
0.436,-0.162,-0.664
0.415,-0.154,-0.673
0.408,-0.155,-0.664
0.401,-0.158,-0.651
0.399,-0.156,-0.645
0.399,-0.15,-0.65
0.488,-0.14,-0.671
0.432,-0.134,-0.659
0.436,-0.178,-0.648
0.407,-0.052,-0.679
0.408,-0.019,-0.719
0.425,-0.015,-0.733
0.437,-0.036,-0.743
0.434,-0.036,-0.765
0.419,-0.021,-0.785
0.41,-0.022,-0.846
0.284,0.604,-1.115
0.268,0.63,-1.127
0.261,0.662,-1.15
0.264,0.672,-1.185
0.27,0.699,-1.208
0.278,0.717,-1.248
0.293,0.71,-1.286
0.305,0.704,-1.378
0.34,0.743,-1.607
0.43,0.47,-2.322
0.735,0.858,-3.062
0.911,0.828,-2.168
0.828,1.091,-1.905
0.661,1.515,-1.64
0.361,1.546,-1.456
0.148,1.284,-1.085
0.097,1.193,-0.945
0.087,1.05,-0.964
0.246,0.88,-1.029
0.221,0.806,-1.05
0.248,0.647,-1.063
0.226,0.566,-1.098
0.202,0.444,-1.11
0.214,0.407,-1.087
